Key,Key Description,Valid Values,columnType,Parent,Module
ILO,Project name,,,ValidValue,Project
LC,Project name,,,ValidValue,Project
LG,Project name,,,ValidValue,Project
LLFS,Project and study name,,,ValidValue,Project
