,Attribute,Description,Type,Source,Module
424,Not Specified,,,,Other Value
425,Not applicable,,,,Other Value
426,Not collected,,,,Other Value
436,Other,,,,Other Value
437,Other race,,,,Other Value
438,OtherConversionRatioUnits,,,,Other Value
439,OtherExperiementalBatchSizeUnit,,,,Other Value
440,OtherLensVoltagesUnit,,,,Other Value
441,OtherVacuumPressureUnit,,,,Other Value
442,OtherYesHasIonizationSource,,,,Other Value
