Key,Key Description,columnType,Source,Parent
TRUE,,,,ManifestColumn
FALSE,,,,ManifestColumn
 Not applicable,,,,ManifestColumn
 Not collected,,,,ManifestColumn
 Other,,,,ManifestColumn
 Uknown,,,,ManifestColumn
