Key,Key Description,Type,Source,Parent
Not Specified,,STRING,,unspecified
Not applicable,,STRING,,unspecified
Not collected,,STRING,,unspecified
OtherExtractionMethodExtractionMethod,,STRING,,unspecified
Unknown,,STRING,,unspecified
