Key,Key Description,Type,Source,Module
GRCh37,,STRING,,NGS
GRCm38,,STRING,,NGS
MMUL1.0,,STRING,,NGS
HRC,,STRING,,NGS
1000 Genomes phase 3,,STRING,,NGS
GRCh38,,STRING,,NGS
dmel_r6.06,,STRING,,NGS
