Key,Key Description,Type,Source,Module
Full Sibling,A sibling with whom you share both parents.,STRING,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C71390&ns=ncit,Clinical
Half Sibling,A sibling with whom you share a single parent.,STRING,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C71391&ns=ncit,Clinical
