Key,Key Description,Type,Source,Parent
OtherPlatformLocation,nan,,nan,DataProperty
Unknown,nan,,nan,DataProperty
Not collected,nan,,nan,DataProperty
Not applicable,nan,,nan,DataProperty
Not Specified,nan,,nan,DataProperty
