Key,Key Description,columnType,Source,Parent
TRUE,,str,,ManifestColumn
 FALSE,,str,,ManifestColumn
 Not applicable,,str,,ManifestColumn
 Not collected,,str,,ManifestColumn
 Other,,str,,ManifestColumn
 Uknown,,str,,ManifestColumn
