Key,Key Description,Type,Source,Parent
Not Specified,,STRING,,unspecified
Not applicable,,STRING,,unspecified
Not collected,,STRING,,unspecified
OtherCleavageAgentsCleavageAgents,,STRING,,unspecified
Unknown,,STRING,,unspecified
