Key,Key Description,columnType,Source,Parent
Label Free,,,,ManifestColumn
 TMT,,,,ManifestColumn
 ITRAQ,,,,ManifestColumn
 SILAC,,,,ManifestColumn
 Targeted Absolute Quantitation,,,,ManifestColumn
 Other,,,,ManifestColumn
 Unknown,,,,ManifestColumn
 Not collected,,,,ManifestColumn
 Not applicable,,,,ManifestColumn
