Key,Key Description,Type,Source,Module
ml,"A unit of volume equal to one millionth (10E-6) of a cubic meter, one thousandth of a liter, one cubic centimeter, or 0.061023 7 cubic inch. A cubic centimeter is the CGS unit of volume.",STRING,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=23.04d&ns=ncit&code=C28254&key=n1961696536&b=1&n=null,Experimental Data
ul,A unit of volume accepted for use with the SI and equal to one millionth of a liter (10E-6 liter).,STRING,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=23.04d&ns=ncit&code=C48153&key=n594438519&b=1&n=null,Experimental Data
