Key,Key Description,Type,Source,Module
Federal Express,An American shipping and receiving company originally known for their overnight air delivery service.,STRING,https://ncithesaurus.nci.nih.gov/ncitbrowser/pages/concept_details.jsf,Other
DHL,"A German logistics company providing courier, package delivery, and express mail services.",STRING,https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=23.04d&ns=ncit&code=C187068&key=n1961632367&b=1&n=null,Other
World Courier,World Courier specializes in medical logistics for global clinical trials.,STRING,https://www.worldcourier.com/,Other
